ダウンロードした時刻：2026/02/28 23:58:28

,白石,白石,白石,白石,白石,白石,白石,白石,白石
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/11/20,12.9,8,1,16.4,8,1,10.2,8,1
1990/11/21,7.6,8,1,15.9,8,1,2.0,8,1
1990/11/22,5.9,8,1,12.5,8,1,-0.4,8,1
1990/11/23,6.2,8,1,11.0,8,1,1.7,8,1
1990/11/24,5.3,8,1,13.1,8,1,-0.2,8,1
1990/11/25,7.2,8,1,12.7,8,1,1.4,8,1
1990/11/26,9.2,8,1,13.7,8,1,4.6,8,1
1990/11/27,9.0,8,1,15.1,8,1,4.4,8,1
1990/11/28,8.8,8,1,10.8,8,1,6.1,8,1
1990/11/29,10.9,8,1,11.7,8,1,10.0,8,1
1990/11/30,12.0,8,1,16.0,8,1,8.8,8,1
1990/12/1,17.6,8,1,19.5,8,1,15.0,8,1
1990/12/2,11.3,8,1,14.4,8,1,7.9,8,1
1990/12/3,6.3,8,1,9.0,8,1,3.1,8,1
1990/12/4,5.4,8,1,9.3,8,1,2.0,8,1
1990/12/5,5.7,8,1,13.0,8,1,-0.2,8,1
1990/12/6,8.5,8,1,14.7,8,1,4.8,8,1
1990/12/7,10.1,8,1,15.9,8,1,3.3,8,1
1990/12/8,10.9,8,1,16.2,8,1,7.6,8,1
1990/12/9,10.3,8,1,16.6,8,1,6.3,8,1
1990/12/10,10.6,8,1,15.5,8,1,6.6,8,1
1990/12/11,7.2,8,1,8.3,8,1,6.4,8,1
1990/12/12,8.0,8,1,11.7,8,1,3.7,8,1
1990/12/13,4.0,8,1,9.0,8,1,-0.3,8,1
1990/12/14,4.6,8,1,12.4,8,1,-1.5,8,1
1990/12/15,5.4,8,1,10.5,8,1,1.1,8,1
1990/12/16,2.5,8,1,6.6,8,1,-0.6,8,1
1990/12/17,2.7,8,1,5.5,8,1,0.4,8,1
1990/12/18,2.4,8,1,7.3,8,1,-0.8,8,1
1990/12/19,3.0,8,1,7.0,8,1,-1.4,8,1
1990/12/20,1.7,8,1,8.4,8,1,-2.9,8,1
1990/12/21,2.9,8,1,7.5,8,1,0.4,8,1
1990/12/22,4.4,8,1,12.6,8,1,-0.7,8,1
1990/12/23,4.4,8,1,7.3,8,1,1.9,8,1
1990/12/24,3.0,8,1,5.0,8,1,1.0,8,1
1990/12/25,3.9,8,1,6.9,8,1,0.7,8,1
1990/12/26,3.7,8,1,8.6,8,1,-1.7,8,1
1990/12/27,2.4,8,1,4.4,8,1,-0.1,8,1
1990/12/28,3.6,8,1,5.5,8,1,1.7,8,1
1990/12/29,2.0,8,1,5.4,8,1,-0.2,8,1
1990/12/30,3.8,8,1,6.2,8,1,-0.2,8,1
1990/12/31,3.4,8,1,8.8,8,1,-0.7,8,1
1991/1/1,4.1,8,1,9.3,8,1,-0.8,8,1
1991/1/2,5.2,8,1,10.6,8,1,1.5,8,1
1991/1/3,2.5,8,1,5.7,8,1,-0.9,8,1
1991/1/4,-0.4,8,1,1.5,8,1,-2.9,8,1
1991/1/5,0.4,8,1,3.0,8,1,-1.2,8,1
1991/1/6,-0.5,8,1,1.3,8,1,-2.0,8,1
1991/1/7,0.2,8,1,3.0,8,1,-2.2,8,1
1991/1/8,-0.2,8,1,2.8,8,1,-2.4,8,1
1991/1/9,0.8,8,1,4.4,8,1,-4.2,8,1
1991/1/10,3.4,8,1,6.7,8,1,0.8,8,1
1991/1/11,3.1,8,1,5.1,8,1,-1.6,8,1
1991/1/12,0.3,8,1,5.4,8,1,-3.3,8,1
1991/1/13,0.0,8,1,5.9,8,1,-3.9,8,1
1991/1/14,1.0,8,1,5.6,8,1,-2.9,8,1
1991/1/15,0.7,8,1,5.2,8,1,-2.4,8,1
1991/1/16,0.6,8,1,4.7,8,1,-3.1,8,1
1991/1/17,1.0,8,1,5.0,8,1,-3.0,8,1
1991/1/18,-0.5,8,1,1.9,8,1,-2.5,8,1
1991/1/19,0.8,8,1,8.1,8,1,-5.6,8,1
1991/1/20,3.1,8,1,9.5,8,1,-2.7,8,1
1991/1/21,4.2,8,1,8.1,8,1,-0.8,8,1
1991/1/22,3.7,8,1,6.4,8,1,0.2,8,1
1991/1/23,-0.1,8,1,2.2,8,1,-2.7,8,1
1991/1/24,0.9,8,1,4.5,8,1,-1.9,8,1
